"#","Fecha","Documento","Cliente","Estado","Estado en Cartera","Metodo de Pago","Forma de Pago","Impuesto","Total","UUID","Notas"
"2","2021-12-31 04:28:47","Nota Crédito","Droguería Katy rosa","Enviada a la DIAN","Pendiente","","","0","14,480.00","e1bcd84b5a3cfdfd877ab2c37031fe23ccfb94fc9232b93984726eaed95fcce7745ebe35081f2e8420f0331d25c2d711","Número de factura relacionada  1783null"
"1794","2021-12-30 17:54:53","Factura de Venta Nacional","D. IMPERIAL","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","55,690.00","0e918444d3ae03cdc3758f6c2541576f2ef15db4a085326d76b67451af9954ae8b49bd30b50452e49c2646546f226ea0",""
"1793","2021-12-30 06:50:00","Factura de Venta Nacional","FARID DURAN","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","7,400.00","b98fd65f03f97233668f501118bb2ccaf4535a19552530bcd283397cc517ffa5ed9f91e4f0852442baaa19dac73d7315",""
"1792","2021-12-30 06:50:00","Factura de Venta Nacional","Leidy Varela","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","21,000.00","6b11b512d14850a12092f6dcb9d6ca3c7c40fbf0b67310f63146f806857dec6b000e5b5f8cc8b9f1e60f3d32510b4370",""
"1791","2021-12-30 06:50:00","Factura de Venta Nacional","Farmacia Bolivar","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","13,100.00","c34beb3b51328c249ec887492d92ee52da9bfe8004d1f14eee1503dbf2b587b6284206402e86a3eb2ef4c7aac9b19130",""
"1790","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA DJ FARMA","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","105,203.00","858471a96a9c06276694bf8b820569b9f57156699f7d31f410112e4cc9932d234cfcf79edc41fa8a5bb2bb1826dc4096",""
"1789","2021-12-30 06:50:00","Factura de Venta Nacional","D. IMPERIAL","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","55,690.00","0fc88babf80763a81489594ac078b385a23774168bf3848bf16e42d60cc58e3e67949bf39514cb8e3ef05596c9e19ad2",""
"1788","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Rapifarma","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","113,509.00","a321ce98404f7620c5fd8d6122a2150de9da0553f46b0d0b3d5a949373eadc584fc0fa24eb1755792bb0fc60f200b02f",""
"1787","2021-12-30 06:50:00","Factura de Venta Nacional","Farmacia Bolivar","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","13,333.00","29211f98d4090a82f3a738b8145a9a9ad5ea883682c34edf6aee72e58e85c75e173489b8370d15c196cdbe4bec46a796",""
"1786","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería Marrugo plus","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","52,630.00","9f336fd8590eda10c06884d926b67150c0ca74eda97968dac990514e220043811b2ad281249fb18e179a273a5fbf7ad6",""
"1785","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA FARMACOSTA CENTRAL","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","578,922.00","26e76ba5e30d9813f77d1d7af3ca80f2f693f7d34aed11f8ade1a50e81e02992e9ee0f61bd10801a173cd184f9c04f4d",""
"1784","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria RyR florian C20 julio","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","124,740.00","17a2beedbb1c41d2d9f52894f340a7d29adebe830ccb60bea699fba0fb0ea7e508fdf25b3b38be20659511c577804b90",""
"1783","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería Katy rosa","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","192,784.00","67d01ef28aa395c83ca0dc2cf55b67c5ef1b5ad9ba883ccd86c6d97f34b2118e0d3b825896f5a0e70549e5227f53e3c5",""
