1	AGRARIO	40
2	AV VILLAS	52
3	BANCOLOMBIA	7
4	BANCOOMEVA	61
5	BBVA	13
6	BNP PARIBAS	42
7	CAJA SOCIAL BCSC	32
8	CITIBANK	9
9	COLPATRIA	19
10	CONFIAR	92
11	COOPERATIVA FINANCIERA DE ANTIOQUIA	83
12	COOPERATIVO COOPCENTRAL S.A	66
13	CORPBANCA COLOMBIA S.A.	6
14	COTRAFA COOPERATIVA FINANCIERA	89
15	DAVIVIENDA	51
16	BANCO DE BOGOTA	1
17	BANDO DE OCCIDENTE	23
18	FALABELLA S.A.	62
19	FINANCIERA JURISCOOP	96
20	FINANDINA S.A.	63
21	GNB COLOMBIA S.A.	10
22	GNB SUDAMERIS	12
23	HELM BANK S.A	14
24	PICHINCHA	60
25	POPULAR	2
26	PROCREDIT COLOMBIA	58
27	SANTANDER DE NEGOCIOS COLOMBIA S.A	65
28	ITAÚ	6
29	NEQUI	1507
