"#","Nit","Nombre","Producto","Cantidad","Estado documento","Estado de cartera","Tipo de documento","CTA","Débito","Crédito","Nota"
<<<<<<< HEAD
"6306","830121548","UNIDAD RESIDENCIAL EL CEDRO - PROPIEDAD HORIZONTA","AIU","1","Recibido por el cliente","Pendiente","Factura de Venta Nacional","AIU SERVICIO DE ASEO  - 41709501","0","41,141.00","SERVICIO DE ASEO MES DE OCTUBRE DE 2021FAVOR CONSIGNAR EN LA CUENTA CORRIENTE DEL BANCO DAVIVIENDA NUMERO 009669997927 A NOMBRE DE GRANCOLOMBIANA DE ADMINISTRACION Y ENVIAR SOPORTE AL CORREO. ROLFYZ_10@HOTMAIL.COM Y GRANCOLSERVIG@HOTMAIL.COM"
"6306","830121548","UNIDAD RESIDENCIAL EL CEDRO - PROPIEDAD HORIZONTA","AIU","1","Recibido por el cliente","Pendiente","Factura de Venta Nacional","DEVOLUCION SERVICIO DE ASEO A.I.U. - 41750201","0","0","SERVICIO DE ASEO MES DE OCTUBRE DE 2021FAVOR CONSIGNAR EN LA CUENTA CORRIENTE DEL BANCO DAVIVIENDA NUMERO 009669997927 A NOMBRE DE GRANCOLOMBIANA DE ADMINISTRACION Y ENVIAR SOPORTE AL CORREO. ROLFYZ_10@HOTMAIL.COM Y GRANCOLSERVIG@HOTMAIL.COM"
"6306","830121548","UNIDAD RESIDENCIAL EL CEDRO - PROPIEDAD HORIZONTA","AIU","1","Recibido por el cliente","Pendiente","Factura de Venta Nacional","IVA GENERADO 19% - 24080109","0","7,816.79","SERVICIO DE ASEO MES DE OCTUBRE DE 2021FAVOR CONSIGNAR EN LA CUENTA CORRIENTE DEL BANCO DAVIVIENDA NUMERO 009669997927 A NOMBRE DE GRANCOLOMBIANA DE ADMINISTRACION Y ENVIAR SOPORTE AL CORREO. ROLFYZ_10@HOTMAIL.COM Y GRANCOLSERVIG@HOTMAIL.COM"
"6306","830121548","UNIDAD RESIDENCIAL EL CEDRO - PROPIEDAD HORIZONTA","AIU","1","Recibido por el cliente","Pendiente","Factura de Venta Nacional","RETE FUENTE AIU SERVICIOS VIGILANCIA  - 13551501","822.82","0","SERVICIO DE ASEO MES DE OCTUBRE DE 2021FAVOR CONSIGNAR EN LA CUENTA CORRIENTE DEL BANCO DAVIVIENDA NUMERO 009669997927 A NOMBRE DE GRANCOLOMBIANA DE ADMINISTRACION Y ENVIAR SOPORTE AL CORREO. ROLFYZ_10@HOTMAIL.COM Y GRANCOLSERVIG@HOTMAIL.COM"
"6306","830121548","UNIDAD RESIDENCIAL EL CEDRO - PROPIEDAD HORIZONTA","AIU","1","Recibido por el cliente","Pendiente","Factura de Venta Nacional","IMPUESTO DE INDUSTRIA Y COMERCIO X AIU RETENIDO  - 135518","0","0","SERVICIO DE ASEO MES DE OCTUBRE DE 2021FAVOR CONSIGNAR EN LA CUENTA CORRIENTE DEL BANCO DAVIVIENDA NUMERO 009669997927 A NOMBRE DE GRANCOLOMBIANA DE ADMINISTRACION Y ENVIAR SOPORTE AL CORREO. ROLFYZ_10@HOTMAIL.COM Y GRANCOLSERVIG@HOTMAIL.COM"
"6306","830121548","UNIDAD RESIDENCIAL EL CEDRO - PROPIEDAD HORIZONTA","AIU","1","Recibido por el cliente","Pendiente","Factura de Venta Nacional","RETE IVA EN VENTAS - 135519","0","0","SERVICIO DE ASEO MES DE OCTUBRE DE 2021FAVOR CONSIGNAR EN LA CUENTA CORRIENTE DEL BANCO DAVIVIENDA NUMERO 009669997927 A NOMBRE DE GRANCOLOMBIANA DE ADMINISTRACION Y ENVIAR SOPORTE AL CORREO. ROLFYZ_10@HOTMAIL.COM Y GRANCOLSERVIG@HOTMAIL.COM"
"6306","830121548","UNIDAD RESIDENCIAL EL CEDRO - PROPIEDAD HORIZONTA","AIU","1","Recibido por el cliente","Pendiente","Factura de Venta Nacional","CLIENTES - 13050501","48,134.97","0","SERVICIO DE ASEO MES DE OCTUBRE DE 2021FAVOR CONSIGNAR EN LA CUENTA CORRIENTE DEL BANCO DAVIVIENDA NUMERO 009669997927 A NOMBRE DE GRANCOLOMBIANA DE ADMINISTRACION Y ENVIAR SOPORTE AL CORREO. ROLFYZ_10@HOTMAIL.COM Y GRANCOLSERVIG@HOTMAIL.COM"
"6306","830121548","UNIDAD RESIDENCIAL EL CEDRO - PROPIEDAD HORIZONTA","SERVICIO DE ASEO","1","Recibido por el cliente","Pendiente","Factura de Venta Nacional","SERVICIO DE ASEO  - 41709501","0","370,272.00","SERVICIO DE ASEO MES DE OCTUBRE DE 2021FAVOR CONSIGNAR EN LA CUENTA CORRIENTE DEL BANCO DAVIVIENDA NUMERO 009669997927 A NOMBRE DE GRANCOLOMBIANA DE ADMINISTRACION Y ENVIAR SOPORTE AL CORREO. ROLFYZ_10@HOTMAIL.COM Y GRANCOLSERVIG@HOTMAIL.COM"
"6306","830121548","UNIDAD RESIDENCIAL EL CEDRO - PROPIEDAD HORIZONTA","SERVICIO DE ASEO","1","Recibido por el cliente","Pendiente","Factura de Venta Nacional","DEVOLUCION SERVICIO DE ASEO - 41750101","0","0","SERVICIO DE ASEO MES DE OCTUBRE DE 2021FAVOR CONSIGNAR EN LA CUENTA CORRIENTE DEL BANCO DAVIVIENDA NUMERO 009669997927 A NOMBRE DE GRANCOLOMBIANA DE ADMINISTRACION Y ENVIAR SOPORTE AL CORREO. ROLFYZ_10@HOTMAIL.COM Y GRANCOLSERVIG@HOTMAIL.COM"
"6306","830121548","UNIDAD RESIDENCIAL EL CEDRO - PROPIEDAD HORIZONTA","SERVICIO DE ASEO","1","Recibido por el cliente","Pendiente","Factura de Venta Nacional","IVA GENERADO 0% - 24080109","0","0","SERVICIO DE ASEO MES DE OCTUBRE DE 2021FAVOR CONSIGNAR EN LA CUENTA CORRIENTE DEL BANCO DAVIVIENDA NUMERO 009669997927 A NOMBRE DE GRANCOLOMBIANA DE ADMINISTRACION Y ENVIAR SOPORTE AL CORREO. ROLFYZ_10@HOTMAIL.COM Y GRANCOLSERVIG@HOTMAIL.COM"
